Schlüssel,Straftat,Gemeinde-schlüssel,Stadt-/Landkreis,Kreisart,erfasste Fälle,HZ nach Zensus,Unique Ids
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09173,Bad Tölz-Wolfratshausen,LK,10,"7,90064153209241","Bad Tölz-Wolfratshausen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09174,Dachau,LK,20,"13,097319633537","Dachau, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09175,Ebersberg,LK,10,"7,10227272727273","Ebersberg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09176,Eichstätt,LK,22,"16,7114838278413","Eichstätt, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09177,Erding,LK,17,"12,4192747143567","Erding, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09178,Freising,LK,30,"16,8542166441007","Freising, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09179,Fürstenfeldbruck,LK,26,"11,9358585325321","Fürstenfeldbruck, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09180,Garmisch-Partenkirchen,LK,7,"7,94055924224378","Garmisch-Partenkirchen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09181,Landsberg am Lech,LK,12,"10,0720994451952","Landsberg am Lech, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09182,Miesbach,LK,12,"12,0981157184768","Miesbach, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09183,Mühldorf a.Inn,LK,16,"13,9755079223661","Mühldorf a.Inn, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09184,München,LK,32,"9,23699532088456","München, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09185,Neuburg-Schrobenhausen,LK,11,"11,4387920635581","Neuburg-Schrobenhausen, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09186,Pfaffenhofen a.d.Ilm,LK,28,"22,1792718861886","Pfaffenhofen a.d.Ilm, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09187,Rosenheim,LK,31,"11,9483983364746","Rosenheim, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09188,Starnberg,LK,19,"14,0174849680918","Starnberg, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09189,Traunstein,LK,18,"10,2104486924953","Traunstein, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09190,Weilheim-Schongau,LK,10,"7,44867860441558","Weilheim-Schongau, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09261,Landshut,KfS,8,"11,2370598232972","Landshut, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09262,Passau,KfS,7,"13,518472026419","Passau, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09263,Straubing,KfS,12,"25,2175009456563","Straubing, KfS"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09271,Deggendorf,LK,15,"12,6325363606505","Deggendorf, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09272,Freyung-Grafenau,LK,5,"6,38202820856468","Freyung-Grafenau, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09273,Kelheim,LK,27,"22,2921259257425","Kelheim, LK"
***100,Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme,09274,Landshut,LK,20,"12,7194907115919","Landshut, LK"
