,kilometers,model_group,model_name,offer_id,price,text,url,zip_code
59,2002,kleinwagen,Mini-6,135,1.000 € ,Das Auto ist läuft gut Motor Getriebe alles okay Kein TÜF keine Rost.,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:3/VW-Polo/k0l3770,7743
60,78.515 km,kleinwagen,Mini-6,136,399 €,Verkaufe generalüberholtes Getriebe FQE !Bei dem Getriebe handelt es sich um ein manuelles 5...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:3/VW-Polo/k0l3770,7743
61,1994,kleinwagen,Mini-6,137,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:3/VW-Polo/k0l3770,7747
62,139.500 km,kleinwagen,Mini-6,138,449 €,Verkaufe generalüberholtes Getriebe LVE !Bei dem Getriebe handelt es sich um ein manuelles 5 -...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:3/VW-Polo/k0l3770,7743
63,2002,kleinwagen,Mini-6,139,79 € ,"Verkaufe Dachträger Atera für VW Polo 9N, von 6/2009 bis 9/2017.Wichtig: Für 5...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:3/VW-Polo/k0l3770,7745
64,139.500 km,kleinwagen,Mini-6,153,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:4/VW-Polo/k0l3770,7747
65,2002,kleinwagen,Mini-6,154,1.000 € ,Das Auto ist läuft gut Motor Getriebe alles okay Kein TÜF keine Rost.,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:4/VW-Polo/k0l3770,7743
66,78.515 km,kleinwagen,Mini-6,155,399 €,Verkaufe generalüberholtes Getriebe FQE !Bei dem Getriebe handelt es sich um ein manuelles 5...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:4/VW-Polo/k0l3770,7743
67,1994,kleinwagen,Mini-6,156,2.499 €,"Hallo,Biete hier unseren gepflegten Vw Polo 9N zum Verkauf an. Es wurden folgende Teile Erneuert:...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:4/VW-Polo/k0l3770,7747
68,139.500 km,kleinwagen,Mini-6,157,449 €,Verkaufe generalüberholtes Getriebe LVE !Bei dem Getriebe handelt es sich um ein manuelles 5 -...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:4/VW-Polo/k0l3770,7743
69,2002,kleinwagen,Mini-6,158,79 € ,"Verkaufe Dachträger Atera für VW Polo 9N, von 6/2009 bis 9/2017.Wichtig: Für 5...",https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:4/VW-Polo/k0l3770,7745
70,78.515 km,kleinwagen,Peugeout-207,172,399 €,Verkaufe generalüberholtes Getriebe FQE !Bei dem Getriebe handelt es sich um ein manuelles 5...,https://www.ebay-kleinanzeigen.de/s-jena/anzeige:angebote/seite:5/VW-Polo/k0l3770,7743
